REPORTE DE SIMULACIÓN - MODELO DE PRODUCCIÓN DE CERVEZA
====================================================================================================

=== ENTIDAD RESUMEN ===

Nombre                       Total Salida Cantidad actual en Sistema    Tiempo En Sistema Promedio (Min) Tiempo En lógica de movimiento Promedio (Min)   Tiempo Espera Promedio (Min) Tiempo En Operación Promedio (Min) Tiempo de Bloqueo Promedio (Min)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LUPULO                                412                         9                              102,27                                     2,00                           0,00                          60,00                           0.00
LEVADURA                              198                        13                              288,28                                     2,00                           0,00                         120,00                           0.00
BOTELLA_CON_CERVEZA                   486                         6                             1138,75                                    16,00                           0,00                        1154,00                           0.00
GRANOS_DE_CEBADA                      103                        67                              881,67                                     4,00                           0,00                         360,00                           0.00
CAJA_CON_CERVEZAS                      81                         0                             1118,21                                   100,00                           0,00                        6949,00                           0.00
CAJA_VACIA                             81                        60                             1117,60                                     0,00                           0,00                          10,00                           0.00
CERVEZA                                96                         3                             1133,53                                    16,00                           0,00                        1142,56                           0.00
MOSTO                                  99                         4                             1032,67                                    12,00                           0,00                         780,00                           0.00


=== LOCACIÓN RESUMEN ===

Nombre                    Tiempo Programado (Hr)       Capacidad       Total Entradas Tiempo Por entrada Promedio (Min)        Contenido Promedio     Contenido Máximo     Contenido Actual        % Utilización
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SILO_GRANDE                              70,03               3                  168                           0,00                      0,00                 3,00                 0,00                 0,00
MADURACION                               70,03              10                   99                          90,00                      2,08                10,00                 3,00                20,85
FERMENTACION                             70,03              10                  312                         120,00                      8,72                10,00                 8,00                87,16
MERCADO                                  70,03      2147483647                   81                           0,00                      0,00        2147483647,00                 0,00                 0,00
ALMACENAJE                               70,03               6                   81                           5,00                      0,10                 6,00                 0,00                 1,61
MACERADO                                 70,03               3                  161                          90,00                      2,85                 3,00                 3,00                94,95
ENFRIAMIENTO                             70,03              10                  103                          60,00                      1,46                10,00                 1,00                14,61
INSPECCION                               70,03               3                   96                          30,00                      0,69                 3,00                 0,00                22,85
FILTRADO                                 70,03               2                  158                          30,00                      1,12                 2,00                 2,00                55,99
EMPACADO                                 70,03               1                  632                          10,00                      0,46                 1,00                 1,00                45,84
SILO_LUPULO                              70,03              10                  420                           0,00                      0,00                10,00                 0,00                 0,00
ALMACEN_CAJAS                            70,03              30                  140                           0,00                      0,00                30,00                 0,00                 0,00
ETIQUETADO                               70,03               6                  492                           1,00                      0,12                 6,00                 0,00                 1,95
SECADO                                   70,03               3                  166                          60,00                      2,35                 3,00                 2,00                78,42
MOLIENDA                                 70,03               2                  164                          60,00                      1,93                 2,00                 2,00                96,68
SILO_LEVADURA                            70,03              10                  210                           0,00                      0,00                10,00                 0,00                 0,00
MALTEADO                                 70,03               3                  168                          60,00                      2,38                 3,00                 2,00                79,37
COCCION                                  70,03              10                  576                          60,00                      8,16                10,00                 8,00                81,58
EMBOTELLADO                              70,03               6                   82                           3,00                      0,06                 6,00                 0,00                 0,98

